Id,OpenTime,Open,High,Low,Close,Volume,CloseTime,QuoteAssetVolume,NumberOfTrades,TakerBuyBaseAssetVolume,TakerBuyQuoteAssetVolume,Unused
1,1502928000000,4261.48,4485.39,4200.74,4285.08,795.15,1503014399999,3454770.05,3427,616.25,2678216.40,
2,1503014400000,4285.08,4371.52,3938.77,4108.37,1199.89,1503100799999,5086958.31,5233,972.87,4129123.32,
3,1503100800000,4108.37,4184.69,3850.00,4139.98,381.31,1503187199999,1549483.74,2153,274.34,1118001.87,
4,1503187200000,4120.98,4211.08,4032.62,4086.29,467.08,1503273599999,1930364.39,2321,376.80,1557401.33,
5,1503273600000,4069.13,4119.62,3911.79,4016.00,691.74,1503359999999,2797231.71,3972,557.36,2255662.55,
6,1503360000000,4016.00,4104.82,3400.00,4040.00,966.68,1503446399999,3752505.77,6494,424.00,1637188.37,
7,1503446400000,4040.00,4265.80,4013.89,4114.01,1001.14,1503532799999,4148686.47,8629,309.42,1293567.10,
8,1503532800000,4147.00,4371.68,4085.01,4316.01,787.42,1503619199999,3296476.41,6247,206.82,868379.06,
9,1503619200000,4316.01,4453.91,4247.48,4280.68,573.61,1503705599999,2484637.35,6554,100.10,434577.14,
10,1503705600000,4280.71,4367.00,4212.41,4337.44,228.11,1503791999999,977865.73,2260,56.19,241363.80,
11,1503792000000,4332.51,4400.00,4285.54,4310.01,350.69,1503878399999,1521580.06,3670,101.65,442442.18,
12,1503878400000,4310.01,4399.82,4124.54,4386.69,603.84,1503964799999,2591660.53,4349,142.79,612364.21,
13,1503964800000,4353.65,4625.85,4313.55,4587.48,603.55,1504051199999,2682483.74,4159,143.44,641982.02,
14,1504051200000,4564.52,4647.51,4416.01,4555.14,808.47,1504137599999,3683714.69,5551,196.06,894620.24,
15,1504137600000,4555.14,4745.42,4555.14,4724.89,556.96,1504223999999,2579878.72,4161,131.95,614342.53,
16,1504224000000,4689.89,4885.55,4654.88,4834.91,560.67,1504310399999,2665165.56,4000,118.66,566254.43,
17,1504310400000,4796.16,4939.19,4286.87,4472.14,929.15,1504396799999,4257723.94,7475,379.20,1738334.09,
18,1504396800000,4508.50,4714.76,4298.33,4509.08,691.22,1504483199999,3121052.75,6022,258.93,1169644.69,
19,1504483200000,4505.00,4527.49,3972.51,4100.11,1394.64,1504569599999,5909947.49,9317,578.60,2460362.61,
20,1504569600000,4106.97,4484.99,3603.00,4366.47,1228.94,1504655999999,5083453.19,10084,533.48,2214297.84,
21,1504656000000,4366.49,4662.87,4335.26,4619.77,807.36,1504742399999,3626346.06,7956,422.92,1903231.74,
22,1504742400000,4619.77,4788.59,4438.19,4691.61,500.43,1504828799999,2305795.14,3070,240.68,1111299.24,
23,1504828800000,4691.66,4735.39,4028.93,4282.80,1132.26,1504915199999,4866527.23,4733,465.96,2004277.29,
24,1504915200000,4282.80,4426.62,4150.06,4258.81,658.78,1505001599999,2815383.47,3777,287.99,1233627.01,
25,1505001600000,4258.81,4283.00,3801.00,4130.37,660.37,1505087999999,2700371.81,3435,291.79,1193884.04,
26,1505088000000,4153.62,4334.43,4098.91,4208.47,699.99,1505174399999,2956842.76,4228,322.20,1361869.71,
27,1505174400000,4208.60,4394.59,4040.80,4163.72,879.63,1505260799999,3725190.62,6501,451.78,1911015.27,
28,1505260800000,4159.72,4165.38,3760.00,3944.69,913.46,1505347199999,3570365.93,5019,363.05,1425986.44,
29,1505347200000,3944.00,3993.00,3165.13,3189.02,1665.02,1505433599999,5914261.40,9066,761.15,2711572.44,
30,1505433600000,3188.01,3856.00,2817.00,3700.00,1968.87,1505519999999,6588767.19,10445,966.12,3236325.67,
31,1505520000000,3674.01,3950.00,3470.66,3714.95,1297.56,1505606399999,4804878.25,8809,624.89,2314536.03,
32,1505606400000,3685.23,3748.21,3499.02,3699.99,682.17,1505692799999,2466490.28,6355,273.93,994843.63,
33,1505692800000,3690.00,4123.20,3690.00,4035.01,1030.01,1505779199999,4069033.06,8220,417.64,1651863.37,
34,1505779200000,4060.00,4089.97,3830.91,3910.04,902.33,1505865599999,3558315.20,7342,257.32,1016803.88,
35,1505865600000,3910.04,4046.08,3820.00,3900.00,720.94,1505951999999,2839584.45,7231,395.28,1562210.15,
36,1505952000000,3889.99,3910.00,3567.00,3609.99,1001.65,1506038399999,3757043.08,8714,517.26,1946238.64,
37,1506038400000,3592.84,3750.00,3505.55,3595.87,838.97,1506124799999,3031771.43,8152,511.06,1848104.61,
38,1506124800000,3595.88,3817.19,3542.91,3780.00,752.79,1506211199999,2799707.00,8402,431.95,1608679.14,
39,1506211200000,3779.54,3789.99,3622.76,3660.02,661.64,1506297599999,2445788.44,8724,290.94,1077964.33,
40,1506297600000,3660.02,3979.87,3653.69,3920.75,727.99,1506383999999,2784170.85,9740,298.84,1144089.18,
41,1506384000000,3928.00,3976.99,3850.05,3882.35,526.73,1506470399999,2061195.58,7971,225.57,883925.02,
42,1506470400000,3882.36,4249.94,3872.81,4193.00,628.17,1506556799999,2554629.81,8373,348.08,1418522.03,
43,1506556800000,4192.11,4300.00,4101.00,4174.50,849.79,1506643199999,3553178.87,11426,364.52,1525467.36,
44,1506643200000,4178.98,4263.86,3952.01,4174.69,1602.31,1506729599999,6571746.36,14834,660.41,2706153.82,
45,1506729600000,4175.00,4380.00,4138.10,4378.51,720.35,1506815999999,3088354.40,9324,292.97,1258540.22,
46,1506816000000,4378.49,4406.52,4240.04,4378.48,726.96,1506902399999,3137143.89,9816,291.98,1263465.87,
47,1506902400000,4400.00,4561.63,4360.00,4380.00,655.76,1506988799999,2905282.78,8185,289.54,1286786.89,
48,1506988800000,4380.00,4467.33,4180.80,4310.00,1082.32,1507075199999,4627422.74,12379,492.74,2107462.11,
49,1507075200000,4314.90,4373.00,4142.00,4208.59,868.47,1507161599999,3676415.10,11006,292.93,1237552.37,
50,1507161600000,4208.59,4355.00,4110.00,4292.43,779.14,1507247999999,3295532.82,9158,351.04,1483036.83,
51,1507248000000,4318.99,4417.00,4292.00,4369.00,506.53,1507334399999,2212035.12,6546,226.15,988106.60,
52,1507334400000,4369.00,4479.50,4312.56,4423.00,297.60,1507420799999,1302533.21,4804,145.31,637146.86,
53,1507420800000,4425.00,4658.00,4425.00,4640.00,518.46,1507507199999,2347356.47,7580,280.09,1268660.83,
54,1507507200000,4640.00,4889.98,4550.00,4786.95,646.46,1507593599999,3040508.90,10372,350.76,1654274.64,
55,1507593600000,4786.95,4960.00,4680.59,4783.06,1043.22,1507679999999,5044283.86,11967,678.83,3289613.76,
56,1507680000000,4783.06,4881.61,4710.00,4821.43,753.43,1507766399999,3609240.91,5895,540.09,2586977.72,
57,1507766400000,4821.43,5439.99,4810.16,5430.00,1276.70,1507852799999,6659759.29,8030,796.59,4149667.60,
58,1507852800000,5439.99,5846.17,5379.84,5649.98,1879.83,1507939199999,10597340.30,11663,878.64,4945786.36,
59,1507939200000,5650.00,5900.00,5580.01,5869.99,970.76,1508025599999,5533972.49,6259,433.79,2472775.20,
60,1508025600000,5855.03,5922.30,5400.01,5709.99,1343.52,1508111999999,7553650.20,7452,601.42,3384776.71,
61,1508112000000,5710.00,5788.91,5585.19,5760.02,1529.00,1508198399999,8701914.80,9153,719.22,4096285.85,
62,1508198400000,5760.00,5774.98,5508.63,5595.00,1429.87,1508284799999,8041662.32,9755,688.77,3874630.12,
63,1508284800000,5595.00,5596.00,5037.95,5512.06,2317.80,1508371199999,12456909.98,14824,1039.62,5582555.96,
64,1508371200000,5513.00,5710.00,5490.26,5683.90,1881.72,1508457599999,10609368.77,11553,866.17,4889254.27,
65,1508457600000,5683.31,6110.00,5600.00,6010.01,1972.98,1508543999999,11486552.19,11656,833.04,4827682.44,
66,1508544000000,6013.72,6171.00,5850.03,6024.97,1664.31,1508630399999,10114821.44,10182,796.02,4842552.09,
67,1508630400000,6003.27,6060.00,5720.03,5950.02,1362.09,1508716799999,8035415.37,8846,559.07,3298113.25,
68,1508716800000,5975.00,6080.00,5621.03,5915.93,1812.56,1508803199999,10607190.98,10736,733.79,4292971.67,
69,1508803200000,5909.47,5925.00,5450.00,5477.03,2580.42,1508889599999,14564495.85,13075,1128.83,6369508.22,
70,1508889600000,5506.92,5704.96,5286.98,5689.99,2282.81,1508975999999,12544847.89,12026,1102.09,6072831.20,
71,1508976000000,5670.10,5939.99,5650.00,5861.77,1972.97,1509062399999,11417126.64,11429,779.74,4524676.60,
72,1509062400000,5861.77,5980.00,5649.24,5768.83,1403.71,1509148799999,8167069.74,8305,624.09,3639525.74,
73,1509148800000,5768.79,5850.02,5630.03,5719.64,1276.75,1509235199999,7308076.02,8556,522.44,2992463.29,
74,1509235200000,5709.98,6189.88,5648.01,6169.98,1804.78,1509321599999,10620967.62,10651,954.17,5607341.71,
